p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.84666043873998	0.222	0.062	0	9	NPDC1
0	1.83978795904101	0.275	0.068	0	9	RNASE1
0	1.73629420369839	0.492	0.193	0	9	CAVIN1
0	1.70833991923927	0.212	0.06	0	9	PDGFRB
0	10.5763057203676	0.296	0.001	0	0	C7
0	4.91899434456207	0.393	0.026	0	0	FBLN1
0	4.90350656188027	0.484	0.025	0	0	LTBP2
0	3.620848388425	0.285	0.043	0	0	PTGDS
0	3.23800675170857	0.287	0.046	0	0	THBS2
0	2.87476371542411	0.239	0.038	0	0	CXCL12
0	2.73725396749506	0.202	0.04	0	0	SFRP4
0	2.73392392329851	0.772	0.151	0	0	COL1A1
0	2.7327856570273	0.218	0.022	0	0	OGN
0	2.62341027743931	0.526	0.119	0	0	FBN1
0	2.5080298463627	0.846	0.354	0	0	FN1
0	2.44933956589108	0.34	0.058	0	0	PDGFRB
0	2.37746454083809	0.529	0.201	0	0	TIMP1
0	2.34130832324596	0.231	0.05	0	0	FHL2
0	1.93605849257159	0.28	0.088	0	0	CTSK
0	1.66800630954278	0.488	0.213	0	0	HLA-DRA
0	1.65858122496566	0.407	0.159	0	0	COL5A2
0	1.65269304080027	0.304	0.092	0	0	IL1R1
0	1.56852411765056	0.216	0.084	0	0	PCOLCE
0	1.56090468578972	0.612	0.291	0	0	CD74
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209941331015336	0.99090307309373	0.208	0.089	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000999320735632999	0	LYZ
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000274606478732985	0.858510001660783	0.219	0.122	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130712683876901	0	TGFB1
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189495446965636	0.713191081958065	0.287	0.182	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000901998327556428	0	C1QB
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000072503288257256	0.662478532906595	0.503	0.316	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000345115652104539	0	ITGB1
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158860049793977	0.651622847841775	0.393	0.278	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756173837019332	0	VCAN
0.00000000000000000000000000000000000313398486874317	-0.682291294624216	0.187	0.244	0.00000000000000000000000000000000149177679752175	0	CD47
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000236060603645451	-1.06881867664241	0.463	0.594	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112364847335235	0	IFI6
0.0000000000000000000000000000000000000000000000000000000000000000000000000000302813123153585	-1.08019464916447	0.143	0.23	0.0000000000000000000000000000000000000000000000000000000000000000000000000144139046621106	0	TP53
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000288860387421252	-1.13670086552052	0.26	0.408	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137497544412516	0	LDHA
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175894386995621	-1.19328545344021	0.183	0.31	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000837257282099155	0	DST
0	4.0722553250577	0.572	0.013	0	28	NKG7
0	4.03246217181592	0.71	0.019	0	28	CD8A
0	3.77649242743362	0.696	0.02	0	28	CD2
0	3.71086700721622	0.596	0.016	0	28	GZMK
0	3.66229168906426	0.571	0.015	0	28	CD3D
0	3.60421306167902	0.577	0.016	0	28	GZMA
